config,n_runs,TRF_px,coverage_pct,delta_params_M,mAP50_mean,mAP50_std,mAP50_95_mean,mAP50_95_std,gamma_mean,delta_mAP50_pp
baseline,4,,,0.0,0.6897,0.0021,0.4314,0.0021,,0.0
pos-p3,1,95.0,14.8,0.164,0.6965,,0.4345,,-0.000546,0.68
pos-p4,1,239.0,37.3,0.657,0.692,,0.4332,,0.019775,0.23
pos-presppf,1,399.0,62.3,2.624,0.6933,,0.4326,,0.026108,0.36
pos-postsppf,4,783.0,122.3,2.624,0.6962,0.0026,0.4348,0.0016,0.003897,0.65
capctrl,3,783.0,122.3,2.623,0.696,0.0038,0.437,0.0002,0.002714,0.63
