metric,n_base,n_rfd,base_mean,base_sd,rfd_mean,rfd_sd,delta_pp,welch_t,welch_p,df,ci95_lo_pp,ci95_hi_pp,mw_U,mw_p,mw_p_min_possible,cohen_d
mAP50,4,4,0.6897,0.0021,0.6962,0.0026,0.643,3.863,0.0092,5.71,0.23,1.055,16.0,0.0286,0.0286,2.73
mAP50_95,4,4,0.4314,0.0021,0.4348,0.0016,0.34,2.627,0.0417,5.62,0.018,0.662,15.0,0.0571,0.0286,1.86
