run,lambda_tv,mAP50,mAP50_95,L_mean,L_std,pearson,spearman,gamma_final
e3p__pos-postsppf__s0,0.0,0.6937,0.4348,0.7303,0.3281,-0.026,-0.002,0.003155
e6p__lam-1e-4__s0,0.0001,0.6937,0.4349,0.9502,0.0967,-0.0158,0.0067,0.002043
e6p__lam-1e-3__s0,0.001,0.6938,0.4303,0.5,0.0011,0.0132,0.0233,0.000282
e6p__lam-1e-2__s0,0.01,0.696,0.4355,0.5001,0.0004,-0.0718,-0.0467,0.002626
e6p__lam-1e-1__s0,0.1,0.6916,0.4329,0.5,0.0001,0.1087,0.0901,0.014175
e6p__lam-1e-5__s0,1e-05,0.6941,0.4317,0.8186,0.2339,-0.1116,-0.0917,0.016006
e6p__lam-1e-4__s1,0.0001,0.6942,0.4322,NA,NA,NA,NA,0.007996
e6p__lam-1e-4__s2,0.0001,0.6978,0.4356,NA,NA,NA,NA,0.002247
