comparison,n_g1,n_g2,mAP50_mean_g1,mAP50_mean_g2,mAP50_diff_pp,mAP50_welch_t,mAP50_welch_df,mAP50_welch_p,mAP50_ci_lower_pp,mAP50_ci_upper_pp,mAP50_mwu_U,mAP50_mwu_p,mAP50_cohens_d,mAP50_95_mean_g1,mAP50_95_mean_g2,mAP50_95_diff_pp,mAP50_95_welch_t,mAP50_95_welch_df,mAP50_95_welch_p,mAP50_95_ci_lower_pp,mAP50_95_ci_upper_pp,mAP50_95_mwu_U,mAP50_95_mwu_p,mAP50_95_cohens_d,AP_small_mean_g1,AP_small_mean_g2,AP_small_diff_pp,AP_small_welch_t,AP_small_welch_df,AP_small_welch_p,AP_small_ci_lower_pp,AP_small_ci_upper_pp,AP_small_mwu_U,AP_small_mwu_p,AP_small_cohens_d,L_std_mean_g1,L_std_mean_g2,L_std_diff_pp,L_std_welch_t,L_std_welch_df,L_std_welch_p,L_std_ci_lower_pp,L_std_ci_upper_pp,L_std_mwu_U,L_std_mwu_p,L_std_cohens_d
base_vs_postsppf,4,4,0.6818,0.6877,0.5900000000000016,-2.437961024218009,3.0326170617940384,0.09174887281275264,-0.1755045324838345,1.3555045324838377,0.0,0.02857142857142857,1.723898772493055,0.42079999999999995,0.422025,0.12250000000000316,-0.6168363087988065,5.968604545911659,0.5601199529607422,-0.3640623314237417,0.6090623314237481,6.0,0.6857142857142857,0.4361691368337153,0.1509,0.164175,1.3274999999999981,-1.6811571800697718,4.965241817921757,0.15397194866682765,-0.7066018519209096,3.361601851920906,2.5,0.14648918393520854,1.1887576422677895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
postsppf_vs_capctrl,4,3,0.6877,0.6886,0.09000000000000119,-0.23918637837912118,4.35472123367132,0.8218020517446584,-0.9219882087621549,1.1019882087621573,5.0,0.8571428571428571,0.18378832513804633,0.422025,0.42543333333333333,0.34083333333333465,-2.4241959086712694,3.4703941461571164,0.08219626481039595,-0.07417940517523572,0.755846071841905,0.0,0.05714285714285714,1.5949037559763906,0.164175,0.17023333333333332,0.6058333333333332,-1.3762399976815567,3.806131910408035,0.24416098074657341,-0.6413307942535487,1.8529974609202151,3.0,0.4,0.9176466973277734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
base_vs_capctrl,4,3,0.6818,0.6886,0.6800000000000028,-2.351126194263273,2.015209480250071,0.14212715584880775,-0.5554693540125734,1.9154693540125791,0.0,0.05714285714285714,2.1422237669593054,0.42079999999999995,0.42543333333333333,0.4633333333333378,-3.080155151518704,3.408910294359678,0.04569456233243954,0.015514791886396019,0.9111518747802796,1.0,0.11428571428571428,2.0215108018919716,0.1509,0.17023333333333332,1.9333333333333313,-2.795107691564556,3.3159998794118057,0.06074965376892039,-0.15387489535303306,4.020541562019695,1.0,0.11428571428571428,1.8276334926258817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
base_vs_pos_p3,4,1,0.6818,0.6891,0.7300000000000084,NA,NA,NA,NA,NA,NA,NA,NA,0.42079999999999995,0.4271,0.6300000000000028,NA,NA,NA,NA,NA,NA,NA,NA,0.1509,0.1639,1.2999999999999985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
base_vs_pos_p4,4,1,0.6818,0.686,0.42000000000000925,NA,NA,NA,NA,NA,NA,NA,NA,0.42079999999999995,0.4234,0.26000000000000467,NA,NA,NA,NA,NA,NA,NA,NA,0.1509,0.1671,1.6199999999999992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
base_vs_pos_presppf,4,1,0.6818,0.6802,-0.15999999999999348,NA,NA,NA,NA,NA,NA,NA,NA,0.42079999999999995,0.4189,-0.18999999999999573,NA,NA,NA,NA,NA,NA,NA,NA,0.1509,0.1743,2.3400000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
