config,n_runs,mAP50,mAP50_sd,mAP50_95,mAP50_95_sd,AP_small,AP_medium,AP_large,delta_mAP50_pp,delta_mAP50_95_pp,gamma_mean
Base model,4,0.6818,0.0003559026084010565,0.42079999999999995,0.002908607914449792,0.1509,0.301425,0.49425,0.0,0.0,NA
+ module after SPPF,4,0.6877,0.00482700735445889,0.422025,0.002704779719927923,0.164175,0.299975,0.495575,0.5900000000000016,0.12250000000000316,0.003897
+ regularizer,1,0.6852,NA,0.4229,NA,0.1591,0.301,0.4985,0.34000000000000696,0.21000000000000463,0.002626
+ box metric,1,0.6889,NA,0.4256,NA,0.1378,0.3018,0.5003,0.7099999999999995,0.48000000000000265,0.011795
Capacity control,3,0.6886,0.0050000000000000044,0.42543333333333333,0.0006658328118479202,0.17023333333333332,0.29653333333333337,0.5021666666666667,0.6800000000000028,0.4633333333333378,0.002714333333333334
