run,group,model,seed,epochs,lambda_tv,use_rsl,use_nwd,nwd_mode,nwd_c,size_tau,mAP50,mAP50_95,gamma_final,L_std_final
e7p__nwd-calib__s0,E7,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.001,,True,abs,10.24,,0.6976,0.4376,0.011795,
e7p__nwd-scaleinv__s0,E7,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.001,,True,scaleinv,0.3,,0.6935,0.4367,0.008553,
e7p__nwd-calib-norsl__s0,E7,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.0,False,True,abs,10.24,,0.6986,0.4357,0.017899,
e7p__nwd-sizegate__s0,E7,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.0001,True,True,sizegate,10.24,5.12,0.6933,0.4311,-0.00626,
