epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,run,train/rsl_loss,val/rsl_loss
31,1015.13,1.13585,0.92728,1.23295,0.7249,0.6087,0.66773,0.40739,1.44362,1.20295,1.45949,0.000439375,0.000439375,0.000439375,1_baseline_yolov8s,,
32,1047.22,1.12466,0.9229,1.22039,0.72146,0.61284,0.67668,0.41051,1.44736,1.19512,1.46073,0.000433187,0.000433187,0.000433187,1_baseline_yolov8s,,
33,1079.38,1.12635,0.92318,1.22603,0.69834,0.63826,0.67874,0.41201,1.43065,1.18647,1.45293,0.000427,0.000427,0.000427,1_baseline_yolov8s,,
34,1111.17,1.11843,0.89063,1.21124,0.72674,0.61032,0.67629,0.41298,1.42491,1.18107,1.45316,0.000420812,0.000420812,0.000420812,1_baseline_yolov8s,,
35,1143.72,1.10303,0.89201,1.21133,0.73957,0.6041,0.67467,0.40681,1.45787,1.2059,1.47022,0.000414625,0.000414625,0.000414625,1_baseline_yolov8s,,
36,1176.05,1.11038,0.89387,1.21431,0.71817,0.61473,0.67466,0.41114,1.44542,1.18617,1.46721,0.000408438,0.000408438,0.000408438,1_baseline_yolov8s,,
37,1207.72,1.10974,0.86736,1.2005,0.73492,0.60003,0.67659,0.41184,1.43942,1.18538,1.45125,0.00040225,0.00040225,0.00040225,1_baseline_yolov8s,,
38,1239.36,1.07909,0.85037,1.18964,0.73282,0.613,0.67085,0.41303,1.43471,1.19764,1.46016,0.000396063,0.000396063,0.000396063,1_baseline_yolov8s,,
39,1271.17,1.08529,0.84856,1.19502,0.72299,0.60463,0.67086,0.40475,1.4457,1.19545,1.46429,0.000389875,0.000389875,0.000389875,1_baseline_yolov8s,,
40,1303.08,1.07149,0.84479,1.19119,0.73612,0.62463,0.68526,0.41802,1.4343,1.18264,1.46315,0.000383688,0.000383688,0.000383688,1_baseline_yolov8s,,
