run,epoch,lambda_tv,train/box_loss,train/cls_loss,train/dfl_loss,train/det_loss,train/rsl_loss,weighted_rsl_loss,ratio_rsl_to_box,ratio_rsl_to_det,metrics/mAP50(B),metrics/mAP50-95(B)
e7p__nwd-scaleinv__s0,56,0.001,1.06673,0.70716,1.11402,2.8879099999999998,0.00031,3.1e-07,2.906077451651308e-07,1.0734406543140196e-07,0.67774,0.4202
e7p__nwd-scaleinv__s0,57,0.001,1.06198,0.69876,1.11448,2.8752199999999997,0.00036,3.6000000000000005e-07,3.389894348292812e-07,1.252078101849598e-07,0.67795,0.41665
e7p__nwd-scaleinv__s0,58,0.001,1.05149,0.69123,1.10317,2.84589,0.00075,7.5e-07,7.132735451597257e-07,2.63537944193205e-07,0.68462,0.42093
e7p__nwd-scaleinv__s0,59,0.001,1.03598,0.68321,1.10179,2.8209799999999996,0.0006,6e-07,5.791617598795344e-07,2.1269204319066426e-07,0.68084,0.42189
e7p__nwd-scaleinv__s0,60,0.001,1.03704,0.6809,1.09722,2.81516,0.00057,5.699999999999999e-07,5.496412867391807e-07,2.0247517015018683e-07,0.68512,0.42263
e7p__nwd-scaleinv__s0,61,0.001,1.0223,0.66799,1.09588,2.7861700000000003,0.00047,4.7e-07,4.5974762789787736e-07,1.686903527064034e-07,0.68478,0.42204
e7p__nwd-scaleinv__s0,62,0.001,1.02105,0.66903,1.08932,2.7794,0.00067,6.7e-07,6.561872582145831e-07,2.4105922141469383e-07,0.68068,0.42329
e7p__nwd-scaleinv__s0,63,0.001,1.01967,0.66909,1.09335,2.7821100000000003,0.00052,5.2e-07,5.099689115105867e-07,1.869084975072876e-07,0.69207,0.42735
e7p__nwd-scaleinv__s0,64,0.001,1.00608,0.65013,1.07769,2.7339,0.0004,4.0000000000000003e-07,3.975826972010178e-07,1.4631113061926186e-07,0.68459,0.42512
e7p__nwd-scaleinv__s0,65,0.001,1.00199,0.64843,1.08109,2.73151,0.00074,7.4e-07,7.385303246539388e-07,2.709124257278941e-07,0.69041,0.42871
e7p__nwd-scaleinv__s0,66,0.001,1.00264,0.64289,1.07733,2.72286,0.00052,5.2e-07,5.186308146493258e-07,1.9097566529311094e-07,0.68721,0.42447
e7p__nwd-scaleinv__s0,67,0.001,0.99164,0.62942,1.06889,2.6899499999999996,0.00076,7.6e-07,7.664071638901214e-07,2.825331325861076e-07,0.68688,0.42474
e7p__nwd-scaleinv__s0,68,0.001,0.98457,0.63522,1.07008,2.68987,0.00156,1.56e-06,1.5844480331515284e-06,5.79953678058791e-07,0.69034,0.42777
e7p__nwd-scaleinv__s0,69,0.001,0.97724,0.61615,1.06156,2.65495,0.00098,9.8e-07,1.0028242806270722e-06,3.6912182903632837e-07,0.68881,0.42526
e7p__nwd-scaleinv__s0,70,0.001,0.96715,0.62053,1.06386,2.65154,0.0012,1.2e-06,1.2407589308793878e-06,4.525671873703584e-07,0.6938,0.43059
e7p__nwd-scaleinv__s0,71,0.001,0.96946,0.61442,1.05769,2.6415699999999998,0.00102,1.0200000000000002e-06,1.052132114785551e-06,3.861340036417738e-07,0.69361,0.43251
e7p__nwd-scaleinv__s0,72,0.001,0.955,0.60456,1.055,2.61456,0.00078,7.8e-07,8.167539267015707e-07,2.983293556085919e-07,0.6898,0.42752
e7p__nwd-scaleinv__s0,73,0.001,0.95758,0.6047,1.06094,2.62322,0.00144,1.4400000000000002e-06,1.5037908059901003e-06,5.489436646564147e-07,0.68758,0.4289
e7p__nwd-scaleinv__s0,74,0.001,0.94999,0.59259,1.05205,2.59463,0.00135,1.3500000000000002e-06,1.4210675901851601e-06,5.203053999992292e-07,0.69346,0.43001
e7p__nwd-scaleinv__s0,75,0.001,0.94945,0.59981,1.0511,2.60036,0.00113,1.13e-06,1.1901627257886144e-06,4.345552154317095e-07,0.69473,0.43337
e7p__nwd-scaleinv__s0,76,0.001,0.93742,0.59164,1.04828,2.5773400000000004,0.00165,1.65e-06,1.7601501994836892e-06,6.401949296561571e-07,0.69069,0.42935
e7p__nwd-scaleinv__s0,77,0.001,0.91896,0.58005,1.04639,2.5454,0.00146,1.46e-06,1.5887525028292853e-06,5.735837196511354e-07,0.69372,0.43205
e7p__nwd-scaleinv__s0,78,0.001,0.93125,0.58317,1.0404,2.55482,0.00196,1.96e-06,2.104697986577181e-06,7.671773353895773e-07,0.69297,0.43401
e7p__nwd-scaleinv__s0,79,0.001,0.92325,0.57428,1.03927,2.5368,0.00222,2.2200000000000003e-06,2.4045491470349313e-06,8.751182592242196e-07,0.6919,0.43355
e7p__nwd-scaleinv__s0,80,0.001,0.91589,0.57253,1.03832,2.52674,0.00136,1.3600000000000001e-06,1.4848944742272545e-06,5.382429533707465e-07,0.68803,0.43035
e7p__nwd-scaleinv__s0,81,0.001,0.90218,0.56094,1.03061,2.4937300000000002,0.00156,1.56e-06,1.7291449599858123e-06,6.255689268685864e-07,0.69302,0.43413
e7p__nwd-scaleinv__s0,82,0.001,0.89452,0.56018,1.02737,2.4820699999999998,0.00195,1.95e-06,2.179940079595761e-06,7.856345711442466e-07,0.69333,0.43696
e7p__nwd-scaleinv__s0,83,0.001,0.89907,0.5536,1.02726,2.47993,0.002,2e-06,2.224520893812495e-06,8.064743762928793e-07,0.69104,0.4351
e7p__nwd-scaleinv__s0,84,0.001,0.89454,0.55114,1.02654,2.47222,0.00206,2.06e-06,2.302859570281933e-06,8.332591759633043e-07,0.69413,0.43607
e7p__nwd-scaleinv__s0,85,0.001,0.88092,0.54112,1.01907,2.44111,0.0021,2.1e-06,2.383871407165236e-06,8.602643879218878e-07,0.69219,0.43375
e7p__nwd-scaleinv__s0,86,0.001,0.88109,0.54921,1.02518,2.4554799999999997,0.00232,2.3200000000000002e-06,2.6331021802540037e-06,9.448254516428562e-07,0.69185,0.43449
e7p__nwd-scaleinv__s0,87,0.001,0.88269,0.54993,1.02363,2.45625,0.00217,2.17e-06,2.458394226738719e-06,8.834605597964377e-07,0.68719,0.4313
e7p__nwd-scaleinv__s0,88,0.001,0.87381,0.53831,1.02187,2.4339899999999997,0.00229,2.29e-06,2.6207070186882736e-06,9.408419919555957e-07,0.68481,0.42944
e7p__nwd-scaleinv__s0,89,0.001,0.85987,0.5287,1.01742,2.40599,0.00212,2.12e-06,2.4654889692627954e-06,8.811341693024493e-07,0.68604,0.42981
e7p__nwd-scaleinv__s0,90,0.001,0.85866,0.52366,1.01188,2.3941999999999997,0.00168,1.68e-06,1.956536929634547e-06,7.016957647648485e-07,0.68418,0.42982
e7p__nwd-scaleinv__s0,91,0.001,0.79675,0.4254,0.97403,2.19618,0.00201,2.0100000000000002e-06,2.522748666457484e-06,9.15225527962189e-07,0.67376,0.41848
e7p__nwd-scaleinv__s0,92,0.001,0.74657,0.38249,0.94987,2.0789299999999997,0.00183,1.83e-06,2.451210201320707e-06,8.802605186321811e-07,0.68071,0.42536
e7p__nwd-scaleinv__s0,93,0.001,0.74186,0.38056,0.95178,2.0742,0.00222,2.2200000000000003e-06,2.992478365190198e-06,1.0702921608330926e-06,0.67936,0.42443
e7p__nwd-scaleinv__s0,94,0.001,0.73327,0.38033,0.94671,2.06031,0.00203,2.03e-06,2.7684209090785115e-06,9.85288621615194e-07,0.68244,0.42799
e7p__nwd-scaleinv__s0,95,0.001,0.7319,0.3752,0.94863,2.05573,0.00182,1.82e-06,2.4866785079928953e-06,8.853302719715137e-07,0.68041,0.4263
e7p__nwd-scaleinv__s0,96,0.001,0.7173,0.36712,0.94156,2.02598,0.00168,1.68e-06,2.3421162693433707e-06,8.292283240703264e-07,0.67998,0.42541
e7p__nwd-scaleinv__s0,97,0.001,0.70845,0.36366,0.9393,2.0114099999999997,0.00152,1.52e-06,2.145528971698779e-06,7.55688795422117e-07,0.67849,0.42575
e7p__nwd-scaleinv__s0,98,0.001,0.71267,0.36555,0.94008,2.0183,0.00144,1.4400000000000002e-06,2.020570530540082e-06,7.134717336372196e-07,0.67753,0.42537
e7p__nwd-scaleinv__s0,99,0.001,0.7029,0.36147,0.93846,2.00283,0.0014,1.4e-06,1.99174847062171e-06,6.990108995770984e-07,0.68184,0.42661
