epoch,module,gamma,L_mean,L_std_spatial,L_min,L_max,L_sat_frac,run
0,model.10,0.0010906391544267,0.5093271732330322,0.0944307446479797,0.1866455078125,0.83642578125,0.0,e2p__postsppf__s1
1,model.10,-0.0002078609686577,0.5069857835769653,0.1471340954303741,0.08978271484375,0.9697265625,0.0,e2p__postsppf__s1
2,model.10,-0.0009318655356764,0.5046465992927551,0.1888309270143509,0.0090560913085937,0.97412109375,0.0006249999860301,e2p__postsppf__s1
3,model.10,0.0023156064562499,0.4982158839702606,0.2142596840858459,0.0054054260253906,0.98095703125,0.0040624998509883,e2p__postsppf__s1
4,model.10,-0.001503016334027,0.5210017561912537,0.2231088131666183,0.003854751586914,0.97998046875,0.0046874997206032,e2p__postsppf__s1
5,model.10,0.0018171964911743,0.5501518249511719,0.245760828256607,0.0039596557617187,0.994140625,0.0084374994039535,e2p__postsppf__s1
6,model.10,0.0009940706659108,0.5747650861740112,0.2816967368125915,0.0017957687377929,0.99951171875,0.0531249977648258,e2p__postsppf__s1
7,model.10,-0.0004350479866843,0.5943125486373901,0.2796094417572021,0.0009040832519531,1.0,0.0621875002980232,e2p__postsppf__s1
8,model.10,0.0003329962491989,0.5974159836769104,0.2868465185165405,0.0007319450378417,1.0,0.0518749989569187,e2p__postsppf__s1
9,model.10,-0.0015672399895265,0.611107587814331,0.2775535583496094,0.0015125274658203,0.99951171875,0.0709374994039535,e2p__postsppf__s1
10,model.10,-2.3292945115827024e-05,0.6125732064247131,0.2858902513980865,0.0017004013061523,1.0,0.0759374946355819,e2p__postsppf__s1
11,model.10,0.0010873118881136,0.6054947376251221,0.2869472801685333,0.0002217292785644,1.0,0.0965624973177909,e2p__postsppf__s1
12,model.10,-0.0013579803053289,0.6176464557647705,0.2832286059856415,0.0001088976860046,0.99951171875,0.0968749970197677,e2p__postsppf__s1
13,model.10,5.4036434448789805e-05,0.6167068481445312,0.2886006832122803,0.0002434253692626,0.99951171875,0.0775000005960464,e2p__postsppf__s1
14,model.10,-0.0008330729906447,0.6564456224441528,0.2926473617553711,0.0005092620849609,1.0,0.109375,e2p__postsppf__s1
15,model.10,0.0048216739669442,0.6592174172401428,0.3093778192996979,1.2636184692382812e-05,1.0,0.1628125011920929,e2p__postsppf__s1
16,model.10,-0.0020910988096147,0.6483103036880493,0.2976998090744018,0.0001511573791503,1.0,0.2034374922513961,e2p__postsppf__s1
17,model.10,-0.0010030791163444,0.6555917859077454,0.2909518778324127,1.2099742889404295e-05,1.0,0.2259375005960464,e2p__postsppf__s1
18,model.10,0.0025038083549588,0.6533297300338745,0.3084426820278168,8.046627044677734e-06,1.0,0.2003124952316284,e2p__postsppf__s1
19,model.10,-0.0029746443033218,0.6591102480888367,0.3178834319114685,3.618001937866211e-05,1.0,0.2184374928474426,e2p__postsppf__s1
