run,group,model,seed,epochs,lambda_tv,use_nwd,nwd_mode,nwd_c,size_tau,mAP50,mAP50_95,gamma_final,L_std_final
e7p__nwd-calib__s0,E7,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.001,True,abs,10.24,NA,0.6976,0.4376,+0.011795,NA
e7p__nwd-scaleinv__s0,E7,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.001,True,scaleinv,0.3,NA,0.6935,0.4367,+0.008553,NA
e7p__nwd-sizegate__s0,E7,ultralytics/cfg/models/v8/yolov8s-rfd-postsppf.yaml,0,100,0.001,True,sizegate,10.24,5.12,0.5911,0.3617,+0.010483,NA
